排名,名称,评分,评分人数,导演,主演,国家,类型,经典台词
43,鬼子来了,9.3,703120人,姜文 Wen Jiang,姜文 Wen Jiang,中国大陆,剧情 喜剧,对敌人的仁慈，就是对自己残忍。
44,摔跤吧！爸爸,9.0,1719140人,涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗 Aamir Khan,印度,剧情 传记 运动 家庭,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
45,少年派的奇幻漂流,9.1,1469707人,李安 Ang Lee,苏拉·沙玛 Suraj Sharma,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,瑰丽壮观、无人能及的冒险之旅。
46,钢琴家,9.3,735372人,罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪 Adrien Brod...,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐,
47,指环王2：双塔奇兵,9.2,841825人,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood,美国 新西兰,剧情 动作 奇幻 冒险,承前启后的史诗篇章。
48,死亡诗社,9.2,858443人,彼得·威尔 Peter Weir,罗宾·威廉姆斯 Robin Williams,美国,剧情,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
49,大话西游之月光宝盒,9.0,1343601人,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow,中国香港 中国大陆,喜剧 爱情 奇幻 古装,
50,何以为家,9.1,1147843人,娜丁·拉巴基 Nadine Labaki,扎因·拉费阿 Zain al-Rafeea,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,凝视卑弱生命，用电影改变命运。
51,闻香识女人,9.1,1004650人,马丁·布莱斯 Martin Brest,阿尔·帕西诺 Al Pacino,美国,剧情,
52,绿皮书,8.9,1858531人,彼得·法雷里 Peter Farrelly,维果·莫腾森 Viggo Mortensen,美国 中国大陆,剧情 喜剧 传记 音乐,去除成见，需要勇气。
53,大闹天宫,9.4,499705人,万籁鸣 Laiming Wan,邱岳峰 Yuefeng Qiu,(中国大陆),1964(中国大陆) 1978(中国大陆) 中国大陆 剧情 动画 奇幻 古装,
54,黑客帝国,9.1,933200人,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski 主...,未知,美国,动作 科幻,
55,指环王1：护戒使者,9.1,943103人,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood,新西兰 美国,剧情 动作 奇幻 冒险,
56,罗马假日,9.1,1033624人,威廉·惠勒 William Wyler,奥黛丽·赫本 Audrey Hepburn,美国,喜剧 剧情 爱情,
57,教父2,9.3,626067人,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,美国,剧情 犯罪,
58,狮子王,9.1,944014人,Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马...,美国,动画 冒险 歌舞,
59,天堂电影院,9.2,731479人,朱塞佩·托纳多雷 Giuseppe Tornatore,菲利普·努瓦雷 Philipp...,意大利 法国,剧情 爱情,
60,饮食男女,9.2,709149人,李安 Ang Lee,郎雄 Sihung Lung,中国台湾 美国,剧情 家庭,
61,辩护人,9.2,649664人,杨宇硕 Woo-seok Yang,宋康昊 Kang-ho Song,韩国,剧情,电影的现实意义大过电影本身。
62,本杰明·巴顿奇事,9.0,1088359人,大卫·芬奇 David Fincher,凯特·布兰切特 Cate Blanchett,美国,剧情 爱情 奇幻,在时间之河里感受溺水之苦。
63,搏击俱乐部,9.0,954090人,大卫·芬奇 David Fincher,爱德华·诺顿 Edward Norton,美国,剧情 动作 悬疑 惊悚,
64,美丽心灵,9.1,842890人,朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe,美国,传记 剧情,
65,穿条纹睡衣的男孩,9.2,631742人,马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德 Asa Butterfield ...,英国 美国,剧情 战争,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
66,情书,8.9,1299100人,岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama,日本,剧情 爱情,
67,哈利·波特与死亡圣器(下),9.0,953221人,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,美国 英国,奇幻 冒险,10年的完美句点。
68,两杆大烟枪,9.1,665325人,盖·里奇 Guy Ritchie,杰森·弗莱明 Jason Flemyng,英国,剧情 喜剧 犯罪,
69,窃听风暴,9.2,623359人,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck &n...,未知,德国,剧情 悬疑,别样人生。
70,音乐之声,9.1,673078人,罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯 Julie Andrews,美国,剧情 传记 爱情 歌舞,
