排名,名称,评分,评分人数,导演,主演,国家,类型,经典台词
170,小丑,8.7,1114528人,托德·菲利普斯 Todd Phillips,杰昆·菲尼克斯 Joaquin Phoeni...,美国 加拿大,剧情 犯罪 惊悚,
171,谍影重重3,8.9,464502人,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon,美国 德国 法国 英国,动作 悬疑 惊悚,像吃了苏打饼一样干脆的电影。
172,达拉斯买家俱乐部,8.8,500107人,让-马克·瓦雷 Jean-Marc Vallée,马修·麦康纳 Matthew McCon...,美国,剧情 传记 同性,Jared Leto的腿比女人还美！
173,疯狂原始人,8.7,911099人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders 主演...,未知,美国,喜剧 动画 冒险,老少皆宜，这就是好莱坞动画的魅力。
174,无间道2,8.8,557742人,刘伟强 Andrew Lau / 麦兆辉 Alan Mak,陈冠希 Edison Chen,中国香港,剧情 犯罪 惊悚,
175,末路狂花,9.0,335847人,雷德利·斯科特 Ridley Scott,吉娜·戴维斯 Geena Davis,美国 英国 法国,犯罪 剧情 惊悚,
176,绿里奇迹,8.9,382407人,弗兰克·德拉邦特 Frank Darabont,汤姆·汉克斯 Tom Hanks,美国,犯罪 剧情 奇幻 悬疑,
177,爱在午夜降临前,8.9,465052人,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,美国 希腊,剧情 爱情,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
178,海街日记,8.8,513479人,是枝裕和 Hirokazu Koreeda,绫濑遥 Haruka Ayase,日本,剧情 家庭,是枝裕和的家庭习作。
179,高山下的花环,9.5,151002人,谢晋 Jin Xie,吕晓禾 Xiaohe Lü,(中国大陆),1985 中国大陆 剧情 战争,
180,疯狂的石头,8.6,914297人,宁浩 Hao Ning,郭涛 Tao Guo,中国大陆 中国香港,喜剧 犯罪,中国版《两杆大烟枪》。
181,风之谷,8.9,389803人,宫崎骏 Hayao Miyazaki,岛本须美 Sumi Shimamoto,日本,动画 奇幻 冒险,
182,上帝之城,9.0,329845人,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund &nbsp...,未知,巴西 法国,犯罪 剧情,
183,雨中曲,9.1,263152人,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,吉恩·...,美国,喜剧 歌舞 爱情,
184,2001太空漫游,8.9,386597人,斯坦利·库布里克 Stanley Kubrick,凯尔·杜拉 Keir Dullea,英国 美国,科幻 惊悚 冒险,
185,英雄本色,8.6,599322人,吴宇森 John Woo,周润发 Yun-Fat Chow,中国香港,剧情 动作 犯罪,
186,心迷宫,8.7,606617人,忻钰坤 Yukun Xin,霍卫民 Weimin Huo,中国大陆,剧情 犯罪 悬疑,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
187,记忆碎片,8.7,661523人,克里斯托弗·诺兰 Christopher Nolan,盖·皮尔斯 Guy Pearce,美国,犯罪 剧情 悬疑 惊悚,
188,纵横四海,8.8,468860人,吴宇森 John Woo,周润发 Yun-Fat Chow,中国香港,剧情 喜剧 动作 犯罪,
189,机器人之梦,9.1,395008人,巴勃罗·贝格尔 Pablo Berger,伊万·拉班达 Ivan Labanda,西班牙 法国,剧情 动画 音乐,
190,卢旺达饭店,8.9,363340人,特瑞·乔治 Terry George,唐·钱德尔 Don Cheadle,英国 南非 意大利 美国,剧情 传记 历史 战争,当这个世界闭上双眼，他却敞开了怀抱。
191,无敌破坏王,8.7,604032人,瑞奇·莫尔 Rich Moore,约翰·C·赖利 John C. Reilly,美国,喜剧 动画 奇幻 冒险,迪士尼和皮克斯拿错剧本的产物。
192,小偷家族,8.7,887195人,是枝裕和 Hirokazu Koreeda,中川雅也 Lily Franky,日本,剧情 犯罪 家庭,我们组成了家。
193,恐怖游轮,8.5,975920人,克里斯托弗·史密斯 Christopher Smith,梅利莎·乔治 Melissa ...,英国 澳大利亚,科幻 悬疑 奇幻 惊悚,不要企图在重复中寻找已经失去的爱。
194,冰川时代,8.7,678250人,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge 主演...,未知,美国,喜剧 动画 冒险,
195,牯岭街少年杀人事件,8.9,361177人,杨德昌 Edward Yang,张震 Chen Chang,中国台湾,剧情 犯罪,
196,东京教父,9.0,283358人,今敏 Satoshi Kon,江守彻 Toru Emori,日本,剧情 喜剧 动画,
197,魔女宅急便,8.7,518022人,宫崎骏 Hayao Miyazaki,高山南 Minami Takayama,日本,动画 奇幻 冒险,
198,岁月神偷,8.7,608894人,罗启锐 Alex Law,吴君如 Sandra Ng,中国香港 中国大陆,剧情 家庭,岁月流逝，来日可追。
199,忠犬八公物语,9.2,215926人,神山征二郎 Seijirô Kôyama,仲代达矢 Tatsuya Nakadai,日本,剧情,
200,芙蓉镇,9.3,184694人,谢晋 Jin Xie,刘晓庆 Xiaoqing Liu,中国大陆,剧情 爱情,
201,荒蛮故事,8.7,509614人,达米安·斯兹弗隆 Damián Szifron,达里奥·葛兰帝内提 Darío...,阿根廷 西班牙,剧情 喜剧 犯罪,始于荒诞，止于更荒诞。
202,遗愿清单,8.7,529046人,罗伯·莱纳 Rob Reiner,杰克·尼科尔森 Jack Nicholson,美国,冒险 喜剧 剧情,用剩余不多的时间，去燃烧整个生命。
203,大佛普拉斯,8.7,544743人,黄信尧 Hsin-yao Huang,庄益增 Yizeng Zhuang,中国台湾,剧情 喜剧,人们可以登上月球，却永远无法探索人们内心的宇宙。
204,源代码,8.6,915477人,邓肯·琼斯 Duncan Jones,杰克·吉伦哈尔 Jake Gyllenhaal,美国 加拿大,科幻 悬疑 惊悚,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
205,贫民窟的百万富翁,8.6,801074人,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,戴夫...,英国,剧情 爱情,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
206,疯狂的麦克斯4：狂暴之路,8.7,610490人,乔治·米勒 George Miller,汤姆·哈迪 Tom Hardy,澳大利亚 美国,动作 科幻 冒险,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
207,你看起来好像很好吃,8.9,370854人,藤森雅也 Masaya Fujimori,山口胜平 Kappei Yamaguchi,日本,剧情 动画 儿童,感情不分食草或者食肉。
208,可可西里,8.9,341391人,陆川 Chuan Lu,多布杰 Duobujie,中国大陆 中国香港,剧情 犯罪,坚硬的信仰。
209,花束般的恋爱,8.6,805500人,土井裕泰 Nobuhiro Doi,菅田将晖 Masaki Suda,日本,剧情 爱情,
210,东邪西毒,8.6,629312人,王家卫 Kar Wai Wong,张国荣 Leslie Cheung,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,
211,城市之光,9.3,169511人,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,美国,喜剧 剧情 爱情,
212,波西米亚狂想曲,8.6,681085人,布莱恩·辛格 Bryan Singer,拉米·马雷克 Rami Malek,英国 美国,剧情 传记 同性 音乐,
213,爆裂鼓手,8.6,681359人,达米恩·查泽雷 Damien Chazelle,迈尔斯·特勒 Miles Teller,美国,剧情 音乐,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
214,白日梦想家,8.6,629115人,本·斯蒂勒 Ben Stiller,本·斯蒂勒 Ben Stiller,美国 英国,剧情 喜剧 冒险,
215,青蛇,8.6,594515人,徐克 Hark Tsui,张曼玉 Maggie Cheung,中国香港 中国大陆,剧情 爱情 奇幻 古装,
216,爱乐之城,8.4,1078947人,达米恩·查泽雷 Damien Chazelle,瑞恩·高斯林 Ryan Gosling,美国,剧情 爱情 歌舞,
217,哈利·波特与死亡圣器(上),8.6,683759人,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,英国 美国,奇幻 冒险,最忠于原著的一部。
218,黑天鹅,8.6,839348人,达伦·阿罗诺夫斯基 Darren Aronofsky,娜塔莉·波特曼 Natalie...,美国,剧情 惊悚,黑暗之美。
219,终结者2：审判日,8.8,379627人,詹姆斯·卡梅隆 James Cameron,阿诺·施瓦辛格 Arnold Schwarz...,美国 法国,动作 科幻,
220,无耻混蛋,8.7,550979人,昆汀·塔伦蒂诺 Quentin Tarantino,布拉德·皮特 Brad Pitt,德国 美国,剧情 犯罪,昆汀同学越来越变态了，比北野武还杜琪峰。
221,大红灯笼高高挂,8.8,361223人,张艺谋 Yimou Zhang,巩俐 Li Gong,中国大陆 中国香港 中国台湾,剧情,
222,初恋这件小事,8.5,1044040人,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,未知,泰国,剧情 喜剧 爱情,黑小鸭速效美白记。
223,新龙门客栈,8.7,501816人,李惠民 Raymond Lee,张曼玉 Maggie Cheung,中国香港 中国大陆,动作 爱情 武侠 古装,
224,人工智能,8.7,495901人,史蒂文·斯皮尔伯格 Steven Spielberg,海利·乔·奥斯蒙 Haley...,美国 英国,剧情 科幻,
225,雨人,8.7,439062人,巴瑞·莱文森 Barry Levinson,达斯汀·霍夫曼 Dustin Hoffman ...,美国,剧情,
226,崖上的波妞,8.6,567529人,宫崎骏 Hayao Miyazaki,奈良柚莉爱 Yuria Nara,日本,动画 奇幻 冒险,
227,虎口脱险,8.9,291189人,杰拉尔·乌里 Gérard Oury,路易·德·菲耐斯 Louis de Funès...,法国 英国,喜剧 战争,
228,千钧一发,8.8,343606人,安德鲁·尼科尔 Andrew Niccol,伊桑·霍克 Ethan Hawke,美国,剧情 科幻 惊悚,
229,真爱至上,8.5,797725人,理查德·柯蒂斯 Richard Curtis,休·格兰特 Hugh Grant,英国 美国 法国,喜剧 剧情 爱情,
230,罗生门,8.8,353358人,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune,日本,剧情 犯罪 悬疑,
231,恋恋笔记本,8.5,739824人,尼克·卡索维茨 Nick Cassavetes,瑞恩·高斯林 Ryan Gosling,美国,剧情 爱情,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
232,哈利·波特与凤凰社,8.6,683152人,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,英国 美国,奇幻 冒险,
233,彗星来的那一夜,8.6,672694人,詹姆斯·沃德·布柯特 James Ward Byrkit,艾米丽·芭尔多尼 Em...,美国 英国,科幻 悬疑 惊悚,小成本大魅力。
234,海边的曼彻斯特,8.6,640629人,肯尼斯·罗纳根 Kenneth Lonergan,卡西·阿弗莱克 Casey Affle...,美国,剧情 家庭,我们都有权利不与自己的过去和解。
235,火星救援,8.5,820646人,雷德利·斯科特 Ridley Scott,马特·达蒙 Matt Damon,英国 美国 匈牙利 约旦,剧情 科幻 冒险,
236,黑客帝国2：重装上阵,8.7,449791人,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski ...,未知,美国,动作 科幻,
237,奇迹男孩,8.6,595544人,斯蒂芬·卓博斯基 Stephen Chbosky,雅各布·特伦布莱 Jacob Tr...,美国 中国香港,剧情 儿童 家庭,世界不完美，爱会有奇迹。
238,千年女优,8.8,312974人,今敏 Satoshi Kon,庄司美代子 Miyoko Shôji,日本,动画 剧情 爱情,
239,战争之王,8.7,410255人,安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇 Nicolas Cage,美国 德国,剧情 犯罪,做一颗让别人需要你的棋子。
240,萤火虫之墓,8.7,435581人,高畑勋 Isao Takahata,辰己努,日本,动画 剧情 战争,
241,步履不停,8.8,318208人,是枝裕和 Hirokazu Koreeda,阿部宽 Hiroshi Abe,日本,剧情 家庭,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
242,谍影重重2,8.7,394392人,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon,美国 德国,动作 悬疑 惊悚,谁说王家卫镜头很晃？
243,攻壳机动队,9.0,212432人,押井守 Mamoru Oshii,田中敦子 Atsuko Tanaka,日本,动作 科幻 动画,
244,蜘蛛侠：平行宇宙,8.6,747596人,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey 主...,未知,美国,动作 科幻 动画 冒险,
245,血钻,8.7,417421人,爱德华·兹威克 Edward Zwick,莱昂纳多·迪卡普里奥 Leonardo ...,美国 德国 英国,剧情 惊悚 冒险,每个美丽事物背后都是滴血的现实。
246,冰雪奇缘,8.5,809201人,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,克里斯汀...,美国,喜剧 动画 奇幻 歌舞,
247,魂断蓝桥,8.8,307077人,茂文·勒鲁瓦 Mervyn LeRoy,费雯·丽 Vivien Leigh,美国,剧情 爱情 战争,
248,房间,8.7,396696人,伦尼·阿伯拉罕森 Lenny Abrahamson,布丽·拉尔森 Brie Larson...,爱尔兰 加拿大 英国 美国,剧情 家庭,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
249,隐藏人物,8.9,265531人,特奥多尔·梅尔菲 Theodore Melfi,塔拉吉·P·汉森 Taraji P. ...,美国,剧情 传记 历史,
250,谍影重重,8.6,482195人,道格·里曼 Doug Liman,马特·达蒙 Matt Damon,美国 德国 捷克,动作 悬疑 惊悚,
